repo,build_tool,module_rel,class_path,fqcn,test_paths,fatjar_path
hazelcast/hazelcast,maven,hazelcast,hazelcast/src/main/java/com/hazelcast/config/ConfigXmlGenerator.java,com.hazelcast.config.ConfigXmlGenerator,hazelcast/src/test/java/com/hazelcast/config/ConfigXmlGeneratorTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/hazelcast_hazelcast/hazelcast/hazelcast-5.7.0-SNAPSHOT-jar-with-dependencies.jar
openjdk/jdk,SKIP-REPO,,src/java.base/share/classes/java/lang/Class.java,,test/hotspot/jtreg/compiler/lib/ir_framework/driver/irmatching/TestClass.java;test/hotspot/jtreg/runtime/linkResolver/TestClass.java;test/jdk/com/sun/jdi/TestClass.java;test/jdk/java/beans/XMLDecoder/spec/TestClass.java,SKIP-REPO
openjdk/jdk,SKIP-REPO,,src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Attr.java,,test/jaxp/javax/xml/jaxp/functional/org/w3c/dom/ptests/AttrTest.java,SKIP-REPO
elastic/elasticsearch,gradle,server,server/src/main/java/org/elasticsearch/ingest/IngestService.java,org.elasticsearch.ingest.IngestService,server/src/test/java/org/elasticsearch/ingest/IngestServiceTests.java,FAIL
elastic/elasticsearch,gradle,server,server/src/main/java/org/elasticsearch/cluster/routing/allocation/allocator/BalancedShardsAllocator.java,org.elasticsearch.cluster.routing.allocation.allocator.BalancedShardsAllocator,server/src/test/java/org/elasticsearch/cluster/routing/allocation/allocator/BalancedShardsAllocatorTests.java,FAIL
openapitools/openapi-generator,maven,modules/openapi-generator,modules/openapi-generator/src/main/java/org/openapitools/codegen/languages/JavaClientCodegen.java,org.openapitools.codegen.languages.JavaClientCodegen,modules/openapi-generator/src/test/java/org/openapitools/codegen/java/JavaClientCodegenTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/openapitools_openapi-generator/modules_openapi-generator/openapi-generator-7.19.0-SNAPSHOT-jar-with-dependencies.jar
openapitools/openapi-generator,maven,modules/openapi-generator,modules/openapi-generator/src/main/java/org/openapitools/codegen/DefaultCodegen.java,org.openapitools.codegen.DefaultCodegen,modules/openapi-generator/src/test/java/org/openapitools/codegen/DefaultCodegenTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/openapitools_openapi-generator/modules_openapi-generator/openapi-generator-7.19.0-SNAPSHOT-jar-with-dependencies.jar
spring-projects/spring-security,gradle,.,config/src/main/java/org/springframework/security/config/annotation/web/configurers/oauth2/client/OAuth2LoginConfigurer.java,org.springframework.security.config.annotation.web.configurers.oauth2.client.OAuth2LoginConfigurer,config/src/test/java/org/springframework/security/config/annotation/web/configurers/oauth2/client/OAuth2LoginConfigurerTests.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/spring-projects_spring-security/spring-security-7.0.3-SNAPSHOT.jar
spring-projects/spring-security,gradle,.,config/src/main/java/org/springframework/security/config/web/server/ServerHttpSecurity.java,org.springframework.security.config.web.server.ServerHttpSecurity,config/src/test/java/org/springframework/security/config/web/server/ServerHttpSecurityTests.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/spring-projects_spring-security/spring-security-7.0.3-SNAPSHOT.jar
micronaut-projects/micronaut-core,gradle,inject,inject/src/main/java/io/micronaut/context/DefaultBeanContext.java,io.micronaut.context.DefaultBeanContext,test-suite/src/test/java/io/micronaut/context/DefaultBeanContextTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/micronaut-projects_micronaut-core/inject/micronaut-inject-5.0.0-SNAPSHOT.jar
micronaut-projects/micronaut-core,gradle,inject,inject/src/main/java/io/micronaut/context/DefaultApplicationContext.java,io.micronaut.context.DefaultApplicationContext,inject/src/test/java/io/micronaut/context/DefaultApplicationContextTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/micronaut-projects_micronaut-core/inject/micronaut-inject-5.0.0-SNAPSHOT.jar
alibaba/nacos,maven,client,client/src/main/java/com/alibaba/nacos/client/config/impl/ClientWorker.java,com.alibaba.nacos.client.config.impl.ClientWorker,client/src/test/java/com/alibaba/nacos/client/config/impl/ClientWorkerTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/alibaba_nacos/client/nacos-client-3.2.0-SNAPSHOT-jar-with-dependencies.jar
alibaba/nacos,maven,config,config/src/main/java/com/alibaba/nacos/config/server/controller/ConfigController.java,com.alibaba.nacos.config.server.controller.ConfigController,config/src/test/java/com/alibaba/nacos/config/server/controller/ConfigControllerTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/alibaba_nacos/config/nacos-config-3.2.0-SNAPSHOT.jar
thealgorithms/java,maven,.,src/main/java/com/thealgorithms/datastructures/lists/SinglyLinkedList.java,,src/test/java/com/thealgorithms/datastructures/lists/SinglyLinkedListTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/thealgorithms_java/Java-1.0-SNAPSHOT.jar
thealgorithms/java,maven,.,src/main/java/com/thealgorithms/strings/Anagrams.java,,src/test/java/com/thealgorithms/strings/AnagramsTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/thealgorithms_java/Java-1.0-SNAPSHOT.jar
apache/druid,maven,indexing-service,indexing-service/src/main/java/org/apache/druid/indexing/common/task/IndexTask.java,org.apache.druid.indexing.common.task.IndexTask,embedded-tests/src/test/java/org/apache/druid/testing/embedded/indexing/IndexTaskTest.java;indexing-service/src/test/java/org/apache/druid/indexing/common/TestIndexTask.java;indexing-service/src/test/java/org/apache/druid/indexing/common/task/IndexTaskTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_druid/indexing-service/druid-indexing-service-36.0.0-SNAPSHOT-jar-with-dependencies.jar
apache/druid,maven,indexing-service,indexing-service/src/main/java/org/apache/druid/indexing/common/task/batch/parallel/ParallelIndexSupervisorTask.java,org.apache.druid.indexing.common.task.batch.parallel.ParallelIndexSupervisorTask,indexing-service/src/test/java/org/apache/druid/indexing/common/task/batch/parallel/ParallelIndexSupervisorTaskTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_druid/indexing-service/druid-indexing-service-36.0.0-SNAPSHOT-jar-with-dependencies.jar
testcontainers/testcontainers-java,gradle,core,core/src/main/java/org/testcontainers/containers/DockerComposeContainer.java,org.testcontainers.containers.DockerComposeContainer,core/src/test/java/org/testcontainers/junit/DockerComposeContainerTest.java;modules/junit-jupiter/src/test/java/org/testcontainers/junit/jupiter/DockerComposeContainerTests.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/testcontainers_testcontainers-java/core/testcontainers-original.jar
testcontainers/testcontainers-java,gradle,core,core/src/main/java/org/testcontainers/containers/GenericContainer.java,org.testcontainers.containers.GenericContainer,core/src/test/java/org/testcontainers/containers/GenericContainerTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/testcontainers_testcontainers-java/core/testcontainers-original.jar
apache/beam,gradle,sdks/java/io/google-cloud-platform,sdks/java/io/google-cloud-platform/src/main/java/org/apache/beam/sdk/io/gcp/bigquery/BigQueryIO.java,org.apache.beam.sdk.io.gcp.bigquery.BigQueryIO,sdks/java/io/bigquery-io-perf-tests/src/test/java/org/apache/beam/sdk/bigqueryioperftests/BigQueryIOIT.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_beam/sdks_java_io_google-cloud-platform/beam-sdks-java-io-google-cloud-platform-2.71.0-SNAPSHOT.jar
apache/beam,gradle,runners/google-cloud-dataflow-java,runners/google-cloud-dataflow-java/src/main/java/org/apache/beam/runners/dataflow/DataflowRunner.java,org.apache.beam.runners.dataflow.DataflowRunner,runners/google-cloud-dataflow-java/src/test/java/org/apache/beam/runners/dataflow/DataflowRunnerTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_beam/runners_google-cloud-dataflow-java/beam-runners-google-cloud-dataflow-java-2.71.0-SNAPSHOT.jar
apereo/cas,gradle,core/cas-server-core,core/cas-server-core/src/main/java/org/apereo/cas/DefaultCentralAuthenticationService.java,org.apereo.cas.DefaultCentralAuthenticationService,core/cas-server-core/src/test/java/org/apereo/cas/DefaultCentralAuthenticationServiceTests.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apereo_cas/core_cas-server-core/cas-server-core-8.0.0-SNAPSHOT.jar
apereo/cas,gradle,support/cas-server-support-oidc-core-api,support/cas-server-support-oidc-core-api/src/main/java/org/apereo/cas/oidc/token/OidcIdTokenGeneratorService.java,org.apereo.cas.oidc.token.OidcIdTokenGeneratorService,support/cas-server-support-oidc/src/test/java/org/apereo/cas/oidc/token/OidcIdTokenGeneratorServiceTests.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apereo_cas/support_cas-server-support-oidc-core-api/cas-server-8.0.0-SNAPSHOT.jar
robolectric/robolectric,gradle,robolectric,robolectric/src/main/java/org/robolectric/Robolectric.java,org.robolectric.Robolectric,robolectric/src/test/java/org/robolectric/RobolectricTest.java,FAIL
robolectric/robolectric,gradle,shadows/framework,shadows/framework/src/main/java/org/robolectric/shadows/ShadowTelephonyManager.java,org.robolectric.shadows.ShadowTelephonyManager,robolectric/src/test/java/org/robolectric/shadows/ShadowTelephonyManagerTest.java,FAIL
linkedin/datahub,gradle,metadata-io,metadata-io/src/main/java/com/linkedin/metadata/search/elasticsearch/query/request/SearchRequestHandler.java,com.linkedin.metadata.search.elasticsearch.query.request.SearchRequestHandler,metadata-io/src/test/java/com/linkedin/metadata/search/query/request/SearchRequestHandlerTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/linkedin_datahub/metadata-io/metadata-io.jar
linkedin/datahub,gradle,metadata-io,metadata-io/src/main/java/com/linkedin/metadata/entity/EntityServiceImpl.java,com.linkedin.metadata.entity.EntityServiceImpl,metadata-io/src/test/java/com/linkedin/metadata/entity/EntityServiceImplTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/linkedin_datahub/metadata-io/metadata-io.jar
apache/flink,maven,flink-runtime,flink-runtime/src/main/java/org/apache/flink/runtime/checkpoint/CheckpointCoordinator.java,org.apache.flink.runtime.checkpoint.CheckpointCoordinator,flink-runtime/src/test/java/org/apache/flink/runtime/checkpoint/CheckpointCoordinatorTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_flink/flink-runtime/flink-runtime-2.3-SNAPSHOT-jar-with-dependencies.jar
apache/flink,maven,flink-runtime,flink-runtime/src/main/java/org/apache/flink/runtime/scheduler/adaptive/AdaptiveScheduler.java,org.apache.flink.runtime.scheduler.adaptive.AdaptiveScheduler,flink-runtime/src/test/java/org/apache/flink/runtime/scheduler/adaptive/AdaptiveSchedulerTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_flink/flink-runtime/flink-runtime-2.3-SNAPSHOT-jar-with-dependencies.jar
apache/incubator-doris,maven,fe/fe-core,fe/fe-core/src/main/java/org/apache/doris/nereids/glue/translator/PhysicalPlanTranslator.java,org.apache.doris.nereids.glue.translator.PhysicalPlanTranslator,fe/fe-core/src/test/java/org/apache/doris/nereids/glue/translator/PhysicalPlanTranslatorTest.java,FAIL
apache/incubator-doris,maven,fe/fe-core,fe/fe-core/src/main/java/org/apache/doris/datasource/ExternalCatalog.java,org.apache.doris.datasource.ExternalCatalog,fe/fe-core/src/main/java/org/apache/doris/datasource/test/TestExternalCatalog.java;fe/fe-core/src/test/java/org/apache/doris/datasource/ExternalCatalogTest.java,FAIL
apache/kafka,gradle,.,clients/src/main/java/org/apache/kafka/clients/consumer/internals/AsyncKafkaConsumer.java,org.apache.kafka.clients.consumer.internals.AsyncKafkaConsumer,clients/src/test/java/org/apache/kafka/clients/consumer/internals/AsyncKafkaConsumerTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_kafka/kafka-4.3.0-SNAPSHOT.jar
apache/kafka,gradle,.,clients/src/main/java/org/apache/kafka/clients/consumer/internals/SubscriptionState.java,org.apache.kafka.clients.consumer.internals.SubscriptionState,clients/src/test/java/org/apache/kafka/clients/consumer/internals/SubscriptionStateTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_kafka/kafka-4.3.0-SNAPSHOT.jar
apache/camel,maven,components/camel-salesforce/camel-salesforce-component,components/camel-salesforce/camel-salesforce-component/src/main/java/org/apache/camel/component/salesforce/SalesforceComponent.java,org.apache.camel.component.salesforce.SalesforceComponent,components/camel-salesforce/camel-salesforce-component/src/test/java/org/apache/camel/component/salesforce/SalesforceComponentTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_camel/components_camel-salesforce_camel-salesforce-component/camel-salesforce-4.17.0-SNAPSHOT-jar-with-dependencies.jar
apache/camel,maven,components/camel-kafka,components/camel-kafka/src/main/java/org/apache/camel/component/kafka/KafkaConsumer.java,org.apache.camel.component.kafka.KafkaConsumer,components/camel-kafka/src/test/java/org/apache/camel/component/kafka/KafkaConsumerTest.java;components/camel-kafka/src/test/java/org/apache/kafka/clients/consumer/KafkaConsumerTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_camel/components_camel-kafka/camel-kafka-4.17.0-SNAPSHOT-jar-with-dependencies.jar
mybatis/mybatis-3,maven,.,src/main/java/org/apache/ibatis/executor/resultset/DefaultResultSetHandler.java,,src/test/java/org/apache/ibatis/executor/resultset/DefaultResultSetHandlerTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/mybatis_mybatis-3/mybatis-3.6.0-SNAPSHOT-jar-with-dependencies.jar
mybatis/mybatis-3,maven,.,src/main/java/org/apache/ibatis/session/Configuration.java,,src/test/java/org/apache/ibatis/submitted/global_variables_defaults/ConfigurationTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/mybatis_mybatis-3/mybatis-3.6.0-SNAPSHOT-jar-with-dependencies.jar
opensearch-project/opensearch,gradle,server,server/src/main/java/org/opensearch/node/Node.java,org.opensearch.node.Node,client/rest/src/test/java/org/opensearch/client/NodeTests.java;server/src/test/java/org/opensearch/node/NodeTests.java,FAIL
opensearch-project/opensearch,gradle,server,server/src/main/java/org/opensearch/index/shard/IndexShard.java,org.opensearch.index.shard.IndexShard,server/src/test/java/org/opensearch/index/shard/IndexShardTests.java,FAIL
trinodb/trino,maven,plugin/trino-hive,plugin/trino-hive/src/main/java/io/trino/plugin/hive/metastore/file/FileHiveMetastore.java,io.trino.plugin.hive.metastore.file.FileHiveMetastore,plugin/trino-hive/src/test/java/io/trino/plugin/hive/metastore/file/TestFileHiveMetastore.java,FAIL
trinodb/trino,maven,plugin/trino-sqlserver,plugin/trino-sqlserver/src/main/java/io/trino/plugin/sqlserver/SqlServerClient.java,io.trino.plugin.sqlserver.SqlServerClient,plugin/trino-sqlserver/src/test/java/io/trino/plugin/sqlserver/TestSqlServerClient.java,FAIL
prestodb/presto,maven,presto-hive,presto-hive/src/main/java/com/facebook/presto/hive/HiveMetadata.java,com.facebook.presto.hive.HiveMetadata,presto-hive/src/test/java/com/facebook/presto/hive/TestHiveMetadata.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/prestodb_presto/presto-hive/presto-hive-0.297-SNAPSHOT-jar-with-dependencies.jar
prestodb/presto,maven,presto-parser,presto-parser/src/main/java/com/facebook/presto/sql/SqlFormatter.java,com.facebook.presto.sql.SqlFormatter,presto-main-base/src/test/java/com/facebook/presto/sql/TestSqlFormatter.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/prestodb_presto/presto-parser/presto-parser-0.297-SNAPSHOT-jar-with-dependencies.jar
apache/iceberg,gradle,.,core/src/main/java/org/apache/iceberg/TableMetadata.java,org.apache.iceberg.TableMetadata,core/src/test/java/org/apache/iceberg/TestTableMetadata.java,FAIL
apache/iceberg,gradle,.,core/src/main/java/org/apache/iceberg/TableProperties.java,org.apache.iceberg.TableProperties,orc/src/test/java/org/apache/iceberg/orc/TestTableProperties.java,FAIL
wildfly/wildfly,maven,connector,connector/src/main/java/org/jboss/as/connector/subsystems/datasources/Constants.java,org.jboss.as.connector.subsystems.datasources.Constants,testsuite/shared/src/main/java/org/wildfly/test/undertow/common/TestConstants.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/wildfly_wildfly/connector/wildfly-connector-39.0.0.Final-SNAPSHOT-jar-with-dependencies.jar
wildfly/wildfly,maven,ee,ee/src/main/java/org/jboss/as/ee/component/interceptors/InterceptorOrder.java,org.jboss.as.ee.component.interceptors.InterceptorOrder,testsuite/integration/basic/src/test/java/org/jboss/as/test/integration/weld/ejb/interceptor/interceptorsorderwithexclusions/InterceptorOrderTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/wildfly_wildfly/ee/wildfly-ee-39.0.0.Final-SNAPSHOT-jar-with-dependencies.jar
grpc/grpc-java,gradle,netty,netty/src/main/java/io/grpc/netty/NettyChannelBuilder.java,io.grpc.netty.NettyChannelBuilder,netty/src/test/java/io/grpc/netty/NettyChannelBuilderTest.java,FAIL
grpc/grpc-java,gradle,core,core/src/main/java/io/grpc/internal/GrpcUtil.java,io.grpc.internal.GrpcUtil,core/src/test/java/io/grpc/internal/GrpcUtilTest.java,FAIL
google/guava,maven,guava,guava/src/com/google/common/collect/ImmutableList.java,,android/guava-tests/test/com/google/common/collect/ImmutableListTest.java;guava-tests/test/com/google/common/collect/ImmutableListTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/google_guava/guava/guava-999.0.0-HEAD-jre-SNAPSHOT-jar-with-dependencies.jar
google/guava,maven,guava,guava/src/com/google/common/collect/ImmutableMap.java,,android/guava-tests/test/com/google/common/collect/ImmutableMapTest.java;guava-tests/test/com/google/common/collect/ImmutableMapTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/google_guava/guava/guava-999.0.0-HEAD-jre-SNAPSHOT-jar-with-dependencies.jar
reactivex/rxjava,gradle,.,src/main/java/io/reactivex/rxjava3/core/Flowable.java,,src/test/java/io/reactivex/rxjava3/flowable/FlowableTests.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/reactivex_rxjava/rxjava-3.0.0-SNAPSHOT.jar
reactivex/rxjava,gradle,.,src/main/java/io/reactivex/rxjava3/core/Observable.java,,src/test/java/io/reactivex/rxjava3/observable/ObservableTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/reactivex_rxjava/rxjava-3.0.0-SNAPSHOT.jar
apache/maven,maven,impl/maven-impl,impl/maven-impl/src/main/java/org/apache/maven/impl/model/DefaultModelBuilder.java,org.apache.maven.impl.model.DefaultModelBuilder,compat/maven-model-builder/src/test/java/org/apache/maven/model/building/DefaultModelBuilderTest.java;impl/maven-impl/src/test/java/org/apache/maven/impl/model/DefaultModelBuilderTest.java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/out/apache_maven/impl_maven-impl/maven-impl-4.1.0-SNAPSHOT-jar-with-dependencies.jar
