repo,fqcn,variant,line_percentage_coverage,line_covered,line_total,branch_percentage_coverage,branch_covered,branch_total,failed,timeout,skipped
codecentric/spring-boot-admin,de.codecentric.boot.admin.server.ui.web.UiController,manual,0.000000,0,0,0.000000,0,0,1,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,auto,99.661400,883,886,75.000000,12,16,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,manual,22.686230,201,886,75.000000,12,16,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.GenericVisitorAdapter,auto,0.000000,0,888,0.000000,0,920,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.GenericVisitorAdapter,manual,97.747748,868,888,49.021739,451,920,0,0,0
seata/seata,io.seata.config.FileConfiguration,auto,84.210526,16,19,0.000000,0,0,0,0,0
seata/seata,io.seata.config.FileConfiguration,manual,0.000000,0,19,0.000000,0,0,0,0,0
azure/azure-sdk-for-java,com.azure.cosmos.implementation.ImplementationBridgeHelpers,auto,0.000000,0,0,0.000000,0,0,0,0,1
azure/azure-sdk-for-java,com.azure.cosmos.implementation.ImplementationBridgeHelpers,manual,0.000000,0,0,0.000000,0,0,0,0,1
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,auto,24.207792,466,1925,8.880309,92,1036,0,0,0
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,manual,1.038961,20,1925,0.482625,5,1036,0,0,0
eclipse-vertx/vert.x,io.vertx.core.Vertx,auto,0.000000,0,0,0.000000,0,0,0,0,1
eclipse-vertx/vert.x,io.vertx.core.Vertx,manual,0.000000,0,0,0.000000,0,0,0,1,0
eclipse-vertx/vert.x,io.vertx.core.net.impl.VertxConnection,auto,0.000000,0,199,0.000000,0,118,0,0,0
eclipse-vertx/vert.x,io.vertx.core.net.impl.VertxConnection,manual,74.874372,149,199,57.627119,68,118,0,0,0
apache/dolphinscheduler,org.apache.dolphinscheduler.service.process.ProcessService,auto,0.000000,0,0,0.000000,0,0,0,0,1
apache/dolphinscheduler,org.apache.dolphinscheduler.service.process.ProcessService,manual,0.000000,0,0,0.000000,0,0,0,0,0
aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.AsyncClientClass,auto,0.000000,0,0,0.000000,0,0,0,0,1
aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.AsyncClientClass,manual,96.911197,251,259,90.476190,38,42,0,0,0
aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.SyncClientClass,auto,0.000000,0,0,0.000000,0,0,0,0,1
aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.SyncClientClass,manual,95.024876,191,201,81.481481,22,27,0,0,0
camunda-cloud/zeebe,io.camunda.client.CamundaClient,auto,100.000000,4,4,0.000000,0,0,0,0,0
camunda-cloud/zeebe,io.camunda.client.CamundaClient,manual,75.000000,3,4,0.000000,0,0,0,0,0
camunda-cloud/zeebe,io.camunda.exporter.DefaultExporterResourceProvider,auto,98.159509,160,163,85.714286,12,14,0,0,0
camunda-cloud/zeebe,io.camunda.exporter.DefaultExporterResourceProvider,manual,83.435583,136,163,21.428571,3,14,0,0,0
google/error-prone,com.google.errorprone.fixes.SuggestedFixes,auto,0.000000,0,0,0.000000,0,0,0,0,1
google/error-prone,com.google.errorprone.fixes.SuggestedFixes,manual,0.000000,0,0,0.000000,0,0,0,0,1
pmd/pmd,net.sourceforge.pmd.lang.java.rule.internal.JavaRuleUtil,auto,0.000000,0,0,0.000000,0,0,0,0,1
pmd/pmd,net.sourceforge.pmd.lang.java.rule.internal.JavaRuleUtil,manual,0.000000,0,128,0.000000,0,200,0,0,0
pmd/pmd,net.sourceforge.pmd.PmdAnalysis,auto,0.000000,0,0,0.000000,0,0,0,0,1
pmd/pmd,net.sourceforge.pmd.PmdAnalysis,manual,79.710145,165,207,71.250000,57,80,0,0,0
eclipse/jetty.project,org.eclipse.jetty.ee9.nested.ContextHandler,manual,0.000000,0,590,0.000000,0,292,0,0,0
eclipse/jetty.project,org.eclipse.jetty.ee9.nested.ContextHandler,auto,0.000000,0,0,0.000000,0,0,0,0,1
eclipse/jetty.project,org.eclipse.jetty.server.internal.HttpConnection,auto,0.000000,0,0,0.000000,0,0,0,0,1
eclipse/jetty.project,org.eclipse.jetty.server.internal.HttpConnection,manual,69.421488,168,242,58.064516,72,124,0,0,0
questdb/questdb,io.questdb.ServerMain,auto,0.000000,0,0,0.000000,0,0,0,0,1
questdb/questdb,io.questdb.ServerMain,manual,66.265060,110,166,63.461538,33,52,0,0,0
assertj/assertj-core,org.assertj.core.api.InstanceOfAssertFactories,auto,0.000000,0,0,0.000000,0,0,0,0,1
assertj/assertj-core,org.assertj.core.api.InstanceOfAssertFactories,manual,0.000000,0,0,0.000000,0,0,0,0,1
swagger-api/swagger-core,io.swagger.v3.core.util.AnnotationsUtils,auto,0.000000,0,0,0.000000,0,0,0,0,1
swagger-api/swagger-core,io.swagger.v3.core.util.AnnotationsUtils,manual,0.000000,0,1246,0.000000,0,1213,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,auto,5.000000,85,1700,2.145923,30,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,manual,41.529412,706,1700,36.266094,507,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,auto,68.847352,221,321,57.317073,141,246,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,manual,18.691589,60,321,10.569106,26,246,0,0,0
bisq-network/bisq,bisq.common.config.Config,auto,0.000000,0,0,0.000000,0,0,0,0,1
bisq-network/bisq,bisq.common.config.Config,manual,0.000000,0,0,0.000000,0,0,0,0,1
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,auto,100.000000,67,67,0.000000,0,0,0,0,0
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,manual,100.000000,67,67,0.000000,0,0,0,0,0
apache/incubator-shenyu,org.apache.shenyu.common.config.ShenyuConfig,auto,0.000000,0,0,0.000000,0,0,0,1,0
apache/incubator-shenyu,org.apache.shenyu.common.config.ShenyuConfig,manual,0.000000,0,0,0.000000,0,0,0,1,0
opentripplanner/opentripplanner,org.opentripplanner.transit.service.DefaultTransitService,auto,0.000000,0,0,0.000000,0,0,0,0,1
opentripplanner/opentripplanner,org.opentripplanner.transit.service.DefaultTransitService,manual,30.985915,66,213,35.185185,19,54,0,0,0
opentripplanner/opentripplanner,org.opentripplanner.routing.linking.VertexLinker,auto,0.000000,0,0,0.000000,0,0,0,0,1
opentripplanner/opentripplanner,org.opentripplanner.routing.linking.VertexLinker,manual,0.000000,0,286,0.000000,0,134,0,0,0
apache/hadoop,org.apache.hadoop.ipc.Server,auto,0.000000,0,0,0.000000,0,0,0,0,1
apache/hadoop,org.apache.hadoop.ipc.Server,manual,0.000000,0,0,0.000000,0,0,0,0,1
redisson/redisson,org.redisson.RedissonScoredSortedSet,auto,0.000000,0,0,0.000000,0,0,0,0,1
redisson/redisson,org.redisson.RedissonScoredSortedSet,manual,0.000000,0,0,0.000000,0,0,0,0,1
