class_name,added_lines,added_methods,added_branches,added_instructions
io.quarkus.bootstrap.logging.InitialConfigurator,14,6,6,42
io.quarkus.qute.ValueResolverBuilder,14,5,2,57
io.quarkus.qute.EvaluatorImpl$EvalContextImpl,14,7,2,50
io.quarkus.bootstrap.logging.QuarkusDelayedHandler,13,2,0,44
io.quarkus.runtime.LaunchMode,13,3,2,69
io.quarkus.arc.impl.ComputingCache,13,4,4,54
io.quarkus.qute.EngineImpl,13,4,5,61
io.quarkus.qute.deployment.QuteProcessor$ExistingValueResolvers,13,6,6,64
org.jboss.jandex.StackedIndex,13,4,2,62
io.quarkus.qute.Parameter$Builder,13,6,0,41
io.quarkus.paths.PathTreeWithManifest,13,3,1,49
io.quarkus.qute.IncludeSectionHelper$Factory,13,3,0,30
io.quarkus.qute.LoopSectionHelper$Factory,12,4,2,37
io.quarkus.qute.LiteralSupport,12,2,12,51
org.jboss.logmanager.CopyOnWriteMap,12,4,2,46
io.quarkus.arc.impl.LazyValue,12,2,3,37
org.jboss.jandex.PrimitiveType$Primitive,12,2,0,73
io.smallrye.common.ref.References$ReaperThread,11,5,1,32
io.quarkus.arc.deployment.AutoAddScopeBuildItem,11,3,1,35
io.quarkus.qute.deployment.IncorrectExpressionBuildItem,11,3,0,34
io.quarkus.qute.TemplateInstanceBase$DataMap,11,4,5,42
org.slf4j.helpers.SubstituteLoggerFactory,11,5,0,37
io.quarkus.qute.TemplateException$Builder,11,6,0,45
io.quarkus.qute.deployment.QuteProcessor$FirstPassJavaMemberLookupConfig,11,5,2,38
io.quarkus.deployment.builditem.LiveReloadBuildItem,10,4,0,32
io.quarkus.runtime.annotations.ConfigPhase,10,2,0,50
io.quarkus.qute.generator.ValueResolverGenerator$Builder,10,5,0,42
io.quarkus.qute.deployment.TypeCheckExcludeBuildItem,10,4,0,26
org.jboss.jandex.BitTricks,10,1,8,109
org.jboss.jandex.Utils$ReusableBufferedInputStream,10,3,1,24
org.jboss.logmanager.AtomicArray,10,4,1,34
org.jboss.jandex.Type$Kind,10,1,0,57
io.quarkus.qute.UserTagSectionHelper$Factory,10,4,0,34
org.jboss.jandex.GenericSignatureParser$MethodSignature,10,5,0,27
io.quarkus.gizmo2.creator.AccessLevel,10,3,0,45
io.quarkus.qute.SectionNode$SectionResolutionContextImpl,9,3,1,34
io.quarkus.qute.FragmentSectionHelper$Factory,9,4,0,35
io.quarkus.arc.deployment.BeanDefiningAnnotationBuildItem,9,3,0,23
org.slf4j.impl.JBossSlf4jServiceProvider,9,5,0,27
org.slf4j.impl.Slf4jLoggerFactory,9,4,2,39
io.quarkus.deployment.builditem.LaunchModeBuildItem,9,3,0,24
io.quarkus.arc.deployment.AdditionalBeanBuildItem$Builder,9,4,0,40
io.quarkus.arc.deployment.SyntheticBeanBuildItem$ExtendedBeanConfigurator,9,3,7,40
io.quarkus.qute.Parameter,9,3,2,31
io.quarkus.qute.ExpressionNode,9,3,6,36
org.slf4j.helpers.Util,9,3,2,20
io.quarkus.qute.ValueResolvers$OrResolver,9,3,5,38
org.jboss.jandex.FieldInternal$NameComparator,8,3,5,50
io.quarkus.deployment.builditem.ApplicationArchivesBuildItem,8,2,0,25
io.quarkus.qute.generator.AbstractGenerator,8,2,0,22
io.quarkus.qute.SectionHelperFactory$ParametersInfo$Builder,8,7,0,42
org.jboss.jandex.MethodInfoGenerator,8,3,1,32
io.quarkus.qute.CompletedStage,8,3,3,30
io.quarkus.qute.ResolutionContextImpl,8,3,0,24
org.jboss.logmanager.Level,8,2,0,42
io.quarkus.arc.deployment.RegisteredComponentsBuildItem,8,3,0,28
org.jboss.jandex.GenericSignatureParser$ClassSignature,8,4,0,21
io.quarkus.qute.deployment.QuteProcessor$FixedJavaMemberLookupConfig,8,4,0,21
io.quarkus.qute.deployment.TemplateRootBuildItem,8,3,2,23
io.quarkus.dev.spi.DevModeType,8,2,0,39
io.quarkus.arc.deployment.AdditionalBeanBuildItem,8,4,0,28
io.quarkus.qute.ValueResolverBuilder$ValueResolverImpl,7,3,1,24
org.jboss.jandex.TypeTarget$Usage,7,1,0,39
io.quarkus.qute.IfSectionHelper$Factory,7,4,0,16
io.quarkus.qute.deployment.TemplateGlobalBuildItem,7,2,2,22
io.quarkus.qute.deployment.QuteProcessor$4,7,3,2,37
io.quarkus.qute.ValueResolvers$MapperResolver,7,4,5,35
org.jboss.jandex.AnnotationTarget$Kind,7,1,0,39
io.quarkus.deployment.builditem.HotDeploymentWatchedFileBuildItem,7,2,2,20
io.quarkus.qute.EngineBuilder$CachedConfigSectionHelperFactory,7,2,0,21
io.smallrye.common.ref.Reference$Type,7,1,0,36
io.quarkus.maven.dependency.GACT,7,2,1,41
io.smallrye.config.ConfigMapping$NamingStrategy,7,2,0,32
io.quarkus.qute.Qute$IndexedArgumentsParserHook,7,2,1,20
io.quarkus.arc.deployment.BeanArchiveIndexBuildItem,7,3,0,18
io.quarkus.arc.processor.ScopeInfo,6,2,2,23
org.jboss.jandex.AnnotationValue,6,4,0,17
io.quarkus.maven.dependency.AbstractDependencyBuilder,6,2,0,25
io.quarkus.deployment.ApplicationArchiveImpl,6,2,1,20
io.quarkus.arc.processor.BeanStream,6,3,0,23
org.jboss.jandex.Indexer$InnerClassInfo,6,1,0,15
io.quarkus.qute.deployment.QuteProcessor$5,6,2,2,41
org.jboss.jandex.AnnotationValue$StringValue,6,2,0,20
org.jboss.jandex.AnnotationValue$BooleanValue,6,2,1,22
io.quarkus.deployment.builditem.FeatureBuildItem,6,3,0,16
io.quarkus.deployment.builditem.HotDeploymentWatchedFileBuildItem$Builder,6,3,1,24
io.quarkus.deployment.BuildProducerImpl,6,2,0,16
io.quarkus.qute.MultiResultNode,6,2,2,29
io.smallrye.common.constraint.Assert,6,3,1,12
org.slf4j.helpers.SubstituteServiceProvider,6,2,0,21
io.smallrye.common.ref.StrongReference,6,2,0,14
io.quarkus.builder.item.BuildItem,5,1,2,14
org.jboss.jandex.ClassSummary,5,1,0,12
org.slf4j.helpers.NOP_FallbackServiceProvider,5,2,0,21
io.quarkus.qute.ValueResolvers$ListResolver,5,3,0,17
org.jboss.logmanager.errormanager.OnlyOnceErrorManager,5,2,0,12
org.jboss.logmanager.FastCopyHashMap$Entry,5,1,0,12
io.smallrye.common.ref.References,5,2,2,23
io.quarkus.qute.runtime.QuteRecorder$TemplateInfo,5,1,0,12
org.aesh.command.impl.registry.MutableCommandRegistryImpl,5,2,0,22
io.quarkus.deployment.GeneratedClassGizmo2Adaptor,5,1,0,16
org.jboss.logmanager.JBossLoggerFinder$JBossSystemLogger,5,3,0,19
io.quarkus.qute.generator.TemplateGlobalGenerator,5,2,0,16
io.quarkus.arc.deployment.SyntheticBeanBuildItem,5,3,0,19
org.jboss.jandex.MethodParamList$ParamData,5,2,0,13
io.quarkus.qute.GetterAccessor,5,3,0,16
io.quarkus.qute.generator.ExtensionMethodGenerator,5,2,0,17
io.quarkus.qute.CompletionStageSupport,5,1,4,14
io.quarkus.arc.deployment.ValidationPhaseBuildItem,5,2,0,12
io.quarkus.qute.deployment.CheckedFragmentValidationBuildItem,5,1,0,12
io.quarkus.qute.ValueResolvers$NumberValueResolver,5,2,2,16
org.jboss.jandex.ClassInfo$NestingType,5,1,0,27
io.quarkus.qute.SectionNode,5,2,2,24
org.slf4j.helpers.Reporter$Level,5,2,0,39
org.jboss.jandex.VoidType,5,3,0,21
org.jboss.jandex.ImmutableArrayList,5,3,0,15
io.quarkus.qute.ValueResolvers$AbstractValueResolver,4,1,0,9
org.jboss.jandex.StrongInternPool$FieldInternPool,4,3,3,17
io.smallrye.classfile.ClassFile$StackMapsOption,4,1,0,21
io.quarkus.qute.deployment.TemplateRootsBuildItem,4,2,0,9
org.jboss.jandex.StrongInternPool$StringInternPool,4,3,3,17
io.quarkus.arc.Arc,4,2,2,13
io.quarkus.deployment.builditem.nativeimage.NativeImageResourceBuildItem,4,2,0,10
io.quarkus.panache.common.deployment.PanacheEntityClassesBuildItem,4,2,0,9
io.quarkus.qute.deployment.TemplateFilePathsBuildItem,4,2,0,11
org.jboss.jandex.StrongInternPool$TypeInternPool,4,3,3,17
io.quarkus.qute.deployment.TemplateExpressionMatchesBuildItem,4,1,0,9
org.jboss.jandex.StrongInternPool$TypeArrayInternPool,4,3,0,11
io.quarkus.qute.ValueResolvers$IntArithmeticResolver,4,2,3,16
io.quarkus.qute.deployment.EngineConfigurationsBuildItem,4,2,0,9
io.quarkus.qute.deployment.TemplateVariantsBuildItem,4,2,0,9
io.quarkus.qute.TemplateImpl$Capacity,4,2,2,18
io.quarkus.arc.processor.InjectionPointInfo$TypeAndQualifiers,4,1,0,9
io.quarkus.qute.ValueResolvers$OrEmptyResolver,4,3,2,21
io.quarkus.qute.WhenSectionHelper$Factory,4,4,0,28
io.quarkus.qute.deployment.QuteProcessor$15,4,1,0,26
org.jboss.logging.Logger,4,2,2,10
io.quarkus.qute.deployment.EffectiveTemplatePathsBuildItem,4,2,0,9
io.quarkus.qute.deployment.TemplatePathExcludeBuildItem,4,2,0,9
io.quarkus.qute.ValueResolvers$ArrayResolver,4,2,2,21
org.jboss.jandex.EmptyIndex,4,4,0,11
io.quarkus.qute.deployment.TemplatesAnalysisBuildItem,4,2,0,9
io.smallrye.common.ref.PhantomReference,4,1,0,11
org.jboss.jandex.StrongInternPool$ByteArrayInternPool,4,3,0,11
org.jboss.jandex.StrongInternPool$MethodInternPool,4,3,3,17
io.quarkus.deployment.pkg.builditem.CurateOutcomeBuildItem,4,2,0,9
org.aesh.readline.util.LoggerUtil,4,2,1,10
io.quarkus.qute.TemplateImpl,4,2,1,15
io.quarkus.qute.ImmutableList,4,3,1,13
io.quarkus.qute.ReflectionValueResolver$AccessorResolver,4,1,0,13
io.quarkus.qute.InsertSectionHelper$Factory,3,3,0,12
org.slf4j.helpers.BasicMDCAdapter,3,1,0,14
io.quarkus.arc.deployment.BeanContainerBuildItem,3,1,0,6
io.quarkus.qute.SetSectionHelper$Factory,3,3,0,9
org.jboss.jandex.DotName$1,3,1,0,13
io.quarkus.qute.ValueResolvers$EqualsResolver,3,2,1,10
io.quarkus.qute.runtime.QuteConfig$DuplicitTemplatesStrategy,3,1,0,15
io.quarkus.paths.OpenContainerPathTree,3,2,1,11
io.quarkus.qute.deployment.QuteProcessor$Code,3,2,0,13
io.smallrye.classfile.ClassFile$DebugElementsOption,3,1,0,15
io.quarkus.qute.WithSectionHelper$Factory,3,3,0,11
io.quarkus.arc.processor.InjectionPointInfo$InjectionPointKind,3,1,0,15
io.quarkus.arc.deployment.QualifierRegistrarBuildItem,3,1,0,6
io.quarkus.qute.ValueResolver,3,3,0,9
io.quarkus.qute.deployment.CustomTemplateLocatorPatternsBuildItem,3,1,0,6
io.quarkus.qute.ValueResolvers$ThisResolver,3,2,3,16
org.slf4j.helpers.BasicMarkerFactory,3,1,0,8
io.quarkus.qute.EvalSectionHelper$Factory,3,3,0,11
io.quarkus.qute.ValueResolvers$CollectionResolver,3,2,0,13
io.quarkus.qute.TextNode,3,2,0,8
io.quarkus.qute.Qute$IndexedArgumentsParserHook$1,3,2,1,12
io.smallrye.classfile.ClassFile$LineNumbersOption,3,1,0,15
org.slf4j.MDC,3,1,1,5
io.quarkus.arc.processor.ConfiguratorBase,3,2,0,10
io.quarkus.maven.dependency.ResolvedDependencyBuilder,3,2,0,10
io.quarkus.qute.deployment.QuteProcessor$4$1,3,3,0,18
io.quarkus.qute.ValueResolvers$TrueResolver,3,2,1,10
io.quarkus.qute.deployment.CheckedTemplateAdapterBuildItem,3,1,0,6
org.slf4j.helpers.Reporter$TargetChoice,2,1,0,15
io.quarkus.builder.item.MultiBuildItem,2,1,0,3
io.quarkus.qute.ValueResolvers$MapResolver,2,2,0,7
io.quarkus.paths.DirectoryPathTree,2,1,0,3
io.quarkus.arc.deployment.SynthesisFinishedBuildItem,2,1,0,4
org.jboss.logmanager.LogContext$1,2,2,0,5
io.quarkus.builder.item.SimpleBuildItem,2,1,0,3
org.jboss.logmanager.Logger$AttachmentKey,2,1,0,3
io.quarkus.qute.runtime.QuteRecorder,2,2,0,12
io.quarkus.qute.ValueResolvers$MapEntryResolver,2,2,0,7
org.jboss.jandex.ClassInfo$ExtraInfo,2,1,0,6
io.quarkus.qute.SectionHelperFactory,2,2,0,4
org.jboss.jandex.StrongInternPool$RecordComponentInternPool,2,1,0,4
io.smallrye.common.ref.References$ReaperThread$1,2,2,0,6
io.quarkus.paths.EmptyPathTree,2,2,0,8
org.jboss.logmanager.LogContextInitializer,2,1,0,8
org.slf4j.helpers.NOPLoggerFactory,2,1,0,3
org.jboss.jandex.RecordComponentInternal,2,1,0,8
org.jboss.jandex.IndexView,2,2,0,7
io.quarkus.qute.ExpressionImpl$PartImpl,2,2,0,6
org.jboss.jandex.Indexer$1,2,2,0,12
io.quarkus.arc.impl.ComputingCache$1,2,2,0,18
org.slf4j.helpers.ThreadLocalMapOfStacks,2,1,0,8
io.quarkus.qute.EvaluatorImpl$TerminalEvalContextImpl,2,1,0,6
io.quarkus.qute.Scope,2,1,3,13
io.quarkus.qute.Namespaces,2,2,0,9
io.quarkus.qute.ValueResolvers$LogicalAndResolver,2,2,2,13
io.quarkus.qute.ValueResolvers$LogicalOrResolver,2,2,2,13
io.quarkus.deployment.dev.AlwaysFalsePredicate,2,2,0,5
io.quarkus.qute.ValueResolverBuilder$2,2,2,0,15
io.quarkus.qute.ValueResolverBuilder$1,2,2,0,14
io.quarkus.arc.deployment.AutoAddScopeBuildItem$MatchPredicate,2,1,0,9
org.jboss.jandex.GenericSignature,1,1,0,3
io.quarkus.qute.Parser$1,1,1,0,3
org.jboss.logmanager.ExtErrorManager,1,1,0,3
io.quarkus.maven.dependency.ArtifactKey,1,1,0,8
io.quarkus.arc.processor.BeanDeployment,1,1,0,4
io.quarkus.qute.runtime.QuteRecorder$1,1,1,0,18
io.quarkus.gizmo2.creator.ModifierFlag$3,1,1,0,6
io.quarkus.gizmo2.creator.ModifierFlag$1,1,1,0,6
io.quarkus.gizmo2.creator.ModifierFlag$2,1,1,0,6
org.jboss.jandex.Declaration,1,1,0,2
io.quarkus.qute.Mapper,1,1,0,5
org.slf4j.helpers.BasicMDCAdapter$1,1,1,0,6
io.smallrye.common.ref.References$BuildTimeHolder,1,1,0,5
io.quarkus.qute.deployment.Types,1,1,0,4
io.quarkus.qute.CharReplacementResultMapper,1,1,0,3
io.quarkus.qute.WithPriority,1,1,0,2
org.jboss.jandex.Modifiers,1,1,1,6
org.jboss.jandex.Descriptor,1,1,0,3
io.quarkus.qute.deployment.QuteProcessor$9,1,1,0,9
io.quarkus.qute.deployment.QuteProcessor$6,1,1,0,9
io.quarkus.qute.deployment.QuteProcessor$7,1,1,0,6
io.quarkus.qute.deployment.QuteProcessor$8,1,1,0,9
io.quarkus.qute.Expressions,1,0,1,5
io.quarkus.qute.deployment.QuteProcessor$11,1,1,0,6
io.quarkus.qute.deployment.QuteProcessor$10,1,1,0,9
io.quarkus.qute.deployment.QuteProcessor$13,1,1,0,6
io.quarkus.qute.AccessorCandidate,1,1,0,2
org.jboss.logmanager.Logger$1,1,1,0,3
io.quarkus.bootstrap.graal.ImageInfo,1,1,0,5
io.quarkus.qute.ValueResolvers$MinusResolver,1,1,0,3
io.quarkus.gizmo2.Gizmo,1,1,0,5
org.jboss.jandex.RecordComponentInternal$NameComparator,1,1,0,3
io.quarkus.qute.deployment.QuteProcessor$JavaMemberLookupConfig,1,1,0,1
io.quarkus.arc.processor.BeanProcessor,1,1,0,4
org.jboss.logmanager.LoggerNode$1,1,1,0,3
io.quarkus.qute.ValueResolvers$ModResolver,1,1,0,3
org.jboss.logmanager.LogContextInitializer$1,1,1,0,3
org.jboss.jandex.Indexer$2,1,1,0,9
io.quarkus.qute.ExpressionImpl,1,1,2,5
org.graalvm.nativeimage.ImageInfo,1,1,0,5
org.jboss.jandex.AnnotationInstance$ValueNameComparator,1,1,0,6
org.slf4j.helpers.NOPMDCAdapter,1,1,0,3
io.quarkus.qute.SectionHelper$SectionResolutionContext,1,1,0,6
io.quarkus.qute.ValueResolvers$PlusResolver,1,1,0,3
org.slf4j.impl.Slf4jMDCAdapter,1,1,0,3
org.jboss.logmanager.errormanager.SimpleErrorManager,1,1,0,3
io.quarkus.arc.deployment.AutoAddScopeBuildItem$MatchPredicate$1,1,1,0,12
io.quarkus.qute.ValueResolverBuilder$5,1,1,0,9
io.quarkus.deployment.GeneratedClassGizmo2Adaptor$1,1,1,0,9
