repo,class_path,test_paths,commit_count,last_commit_date
apache/dubbo,dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/ServiceConfig.java,dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/ServiceConfigTest.java,100,2025-10-22T07:10:43+00:00
apache/dubbo,dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistry.java,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistryTest.java,100,2025-06-19T02:12:48+00:00
apache/pulsar,pulsar-client/src/main/java/org/apache/pulsar/client/impl/PulsarClientImpl.java,pulsar-client/src/test/java/org/apache/pulsar/client/impl/PulsarClientImplTest.java,100,2025-11-26T05:38:57+00:00
apache/pulsar,pulsar-client/src/main/java/org/apache/pulsar/client/impl/MultiTopicsConsumerImpl.java,pulsar-client/src/test/java/org/apache/pulsar/client/impl/MultiTopicsConsumerImplTest.java,100,2025-11-24T12:35:31+00:00
hibernate/hibernate-orm,hibernate-core/src/main/java/org/hibernate/mapping/Component.java,hibernate-core/src/test/java/org/hibernate/orm/test/component/basic/ComponentTest.java,100,2025-11-24T11:31:17+00:00
hibernate/hibernate-orm,hibernate-core/src/main/java/org/hibernate/engine/spi/SessionDelegatorBaseImpl.java,hibernate-core/src/test/java/org/hibernate/orm/test/delegation/SessionDelegatorBaseImplTest.java,100,2025-11-19T12:32:50+00:00
hazelcast/hazelcast,hazelcast/src/main/java/com/hazelcast/config/CacheConfig.java,hazelcast/src/test/java/com/hazelcast/config/CacheConfigTest.java,100,2025-11-10T08:07:09+00:00
hazelcast/hazelcast,hazelcast/src/main/java/com/hazelcast/config/ConfigXmlGenerator.java,hazelcast/src/test/java/com/hazelcast/config/ConfigXmlGeneratorTest.java,100,2025-10-21T10:24:24+00:00
openjdk/jdk,src/java.base/share/classes/java/lang/Class.java,test/hotspot/jtreg/compiler/lib/ir_framework/driver/irmatching/TestClass.java;test/hotspot/jtreg/runtime/linkResolver/TestClass.java;test/jdk/com/sun/jdi/TestClass.java;test/jdk/java/beans/XMLDecoder/spec/TestClass.java,100,2025-11-21T00:46:00+00:00
openjdk/jdk,src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Attr.java,test/jaxp/javax/xml/jaxp/functional/org/w3c/dom/ptests/AttrTest.java,100,2025-11-20T17:55:06+00:00
elastic/elasticsearch,server/src/main/java/org/elasticsearch/ingest/IngestService.java,server/src/test/java/org/elasticsearch/ingest/IngestServiceTests.java,100,2025-11-26T20:50:19+00:00
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/routing/allocation/allocator/BalancedShardsAllocator.java,server/src/test/java/org/elasticsearch/cluster/routing/allocation/allocator/BalancedShardsAllocatorTests.java,100,2025-11-26T18:04:49+00:00
openapitools/openapi-generator,modules/openapi-generator/src/main/java/org/openapitools/codegen/languages/JavaClientCodegen.java,modules/openapi-generator/src/test/java/org/openapitools/codegen/java/JavaClientCodegenTest.java,100,2025-11-25T05:54:29+00:00
openapitools/openapi-generator,modules/openapi-generator/src/main/java/org/openapitools/codegen/DefaultCodegen.java,modules/openapi-generator/src/test/java/org/openapitools/codegen/DefaultCodegenTest.java,100,2025-11-23T09:08:11+00:00
spring-projects/spring-security,config/src/main/java/org/springframework/security/config/annotation/web/configurers/oauth2/client/OAuth2LoginConfigurer.java,config/src/test/java/org/springframework/security/config/annotation/web/configurers/oauth2/client/OAuth2LoginConfigurerTests.java,100,2025-10-08T19:26:46+00:00
spring-projects/spring-security,config/src/main/java/org/springframework/security/config/web/server/ServerHttpSecurity.java,config/src/test/java/org/springframework/security/config/web/server/ServerHttpSecurityTests.java,100,2025-09-12T21:31:53+00:00
micronaut-projects/micronaut-core,inject/src/main/java/io/micronaut/context/DefaultBeanContext.java,test-suite/src/test/java/io/micronaut/context/DefaultBeanContextTest.java,100,2025-11-26T10:12:17+00:00
micronaut-projects/micronaut-core,inject/src/main/java/io/micronaut/context/DefaultApplicationContext.java,inject/src/test/java/io/micronaut/context/DefaultApplicationContextTest.java,100,2025-11-24T09:19:51+00:00
alibaba/nacos,client/src/main/java/com/alibaba/nacos/client/config/impl/ClientWorker.java,client/src/test/java/com/alibaba/nacos/client/config/impl/ClientWorkerTest.java,100,2025-10-14T02:59:55+00:00
alibaba/nacos,config/src/main/java/com/alibaba/nacos/config/server/controller/ConfigController.java,config/src/test/java/com/alibaba/nacos/config/server/controller/ConfigControllerTest.java,100,2025-05-26T01:57:39+00:00
thealgorithms/java,src/main/java/com/thealgorithms/datastructures/lists/SinglyLinkedList.java,src/test/java/com/thealgorithms/datastructures/lists/SinglyLinkedListTest.java,16,2025-04-02T15:51:40+00:00
thealgorithms/java,src/main/java/com/thealgorithms/strings/Anagrams.java,src/test/java/com/thealgorithms/strings/AnagramsTest.java,13,2025-06-11T17:04:06+00:00
apache/druid,indexing-service/src/main/java/org/apache/druid/indexing/common/task/IndexTask.java,embedded-tests/src/test/java/org/apache/druid/testing/embedded/indexing/IndexTaskTest.java;indexing-service/src/test/java/org/apache/druid/indexing/common/TestIndexTask.java;indexing-service/src/test/java/org/apache/druid/indexing/common/task/IndexTaskTest.java,100,2025-10-01T00:33:32+00:00
apache/druid,indexing-service/src/main/java/org/apache/druid/indexing/common/task/batch/parallel/ParallelIndexSupervisorTask.java,indexing-service/src/test/java/org/apache/druid/indexing/common/task/batch/parallel/ParallelIndexSupervisorTaskTest.java,100,2025-06-10T11:53:37+00:00
testcontainers/testcontainers-java,core/src/main/java/org/testcontainers/containers/DockerComposeContainer.java,core/src/test/java/org/testcontainers/junit/DockerComposeContainerTest.java;modules/junit-jupiter/src/test/java/org/testcontainers/junit/jupiter/DockerComposeContainerTests.java,100,2025-10-10T05:26:55+00:00
testcontainers/testcontainers-java,core/src/main/java/org/testcontainers/containers/GenericContainer.java,core/src/test/java/org/testcontainers/containers/GenericContainerTest.java,100,2025-09-26T02:04:43+00:00
apache/beam,sdks/java/io/google-cloud-platform/src/main/java/org/apache/beam/sdk/io/gcp/bigquery/BigQueryIO.java,sdks/java/io/bigquery-io-perf-tests/src/test/java/org/apache/beam/sdk/bigqueryioperftests/BigQueryIOIT.java,100,2025-11-26T19:35:44+00:00
apache/beam,runners/google-cloud-dataflow-java/src/main/java/org/apache/beam/runners/dataflow/DataflowRunner.java,runners/google-cloud-dataflow-java/src/test/java/org/apache/beam/runners/dataflow/DataflowRunnerTest.java,100,2025-11-24T20:19:37+00:00
apereo/cas,core/cas-server-core/src/main/java/org/apereo/cas/DefaultCentralAuthenticationService.java,core/cas-server-core/src/test/java/org/apereo/cas/DefaultCentralAuthenticationServiceTests.java,100,2025-11-16T18:33:41+00:00
apereo/cas,support/cas-server-support-oidc-core-api/src/main/java/org/apereo/cas/oidc/token/OidcIdTokenGeneratorService.java,support/cas-server-support-oidc/src/test/java/org/apereo/cas/oidc/token/OidcIdTokenGeneratorServiceTests.java,100,2025-11-16T00:02:25+00:00
robolectric/robolectric,robolectric/src/main/java/org/robolectric/Robolectric.java,robolectric/src/test/java/org/robolectric/RobolectricTest.java,100,2025-10-21T18:50:24+00:00
robolectric/robolectric,shadows/framework/src/main/java/org/robolectric/shadows/ShadowTelephonyManager.java,robolectric/src/test/java/org/robolectric/shadows/ShadowTelephonyManagerTest.java,100,2025-08-22T20:28:05+00:00
linkedin/datahub,metadata-io/src/main/java/com/linkedin/metadata/search/elasticsearch/query/request/SearchRequestHandler.java,metadata-io/src/test/java/com/linkedin/metadata/search/query/request/SearchRequestHandlerTest.java,77,2025-11-19T21:27:07+00:00
linkedin/datahub,metadata-io/src/main/java/com/linkedin/metadata/entity/EntityServiceImpl.java,metadata-io/src/test/java/com/linkedin/metadata/entity/EntityServiceImplTest.java,75,2025-11-20T01:02:40+00:00
apache/flink,flink-runtime/src/main/java/org/apache/flink/runtime/checkpoint/CheckpointCoordinator.java,flink-runtime/src/test/java/org/apache/flink/runtime/checkpoint/CheckpointCoordinatorTest.java,100,2025-09-26T15:21:16+00:00
apache/flink,flink-runtime/src/main/java/org/apache/flink/runtime/scheduler/adaptive/AdaptiveScheduler.java,flink-runtime/src/test/java/org/apache/flink/runtime/scheduler/adaptive/AdaptiveSchedulerTest.java,100,2025-09-12T14:24:15+00:00
apache/incubator-doris,fe/fe-core/src/main/java/org/apache/doris/nereids/glue/translator/PhysicalPlanTranslator.java,fe/fe-core/src/test/java/org/apache/doris/nereids/glue/translator/PhysicalPlanTranslatorTest.java,100,2025-11-27T02:39:34+00:00
apache/incubator-doris,fe/fe-core/src/main/java/org/apache/doris/datasource/ExternalCatalog.java,fe/fe-core/src/main/java/org/apache/doris/datasource/test/TestExternalCatalog.java;fe/fe-core/src/test/java/org/apache/doris/datasource/ExternalCatalogTest.java,100,2025-11-26T03:17:56+00:00
apache/kafka,clients/src/main/java/org/apache/kafka/clients/consumer/internals/AsyncKafkaConsumer.java,clients/src/test/java/org/apache/kafka/clients/consumer/internals/AsyncKafkaConsumerTest.java,100,2025-11-26T20:18:19+00:00
apache/kafka,clients/src/main/java/org/apache/kafka/clients/consumer/internals/SubscriptionState.java,clients/src/test/java/org/apache/kafka/clients/consumer/internals/SubscriptionStateTest.java,100,2025-11-26T20:18:19+00:00
apache/camel,components/camel-salesforce/camel-salesforce-component/src/main/java/org/apache/camel/component/salesforce/SalesforceComponent.java,components/camel-salesforce/camel-salesforce-component/src/test/java/org/apache/camel/component/salesforce/SalesforceComponentTest.java,100,2025-10-13T07:25:28+00:00
apache/camel,components/camel-kafka/src/main/java/org/apache/camel/component/kafka/KafkaConsumer.java,components/camel-kafka/src/test/java/org/apache/camel/component/kafka/KafkaConsumerTest.java;components/camel-kafka/src/test/java/org/apache/kafka/clients/consumer/KafkaConsumerTest.java,100,2025-07-30T18:02:10+00:00
mybatis/mybatis-3,src/main/java/org/apache/ibatis/executor/resultset/DefaultResultSetHandler.java,src/test/java/org/apache/ibatis/executor/resultset/DefaultResultSetHandlerTest.java,100,2025-06-12T15:53:34+00:00
mybatis/mybatis-3,src/main/java/org/apache/ibatis/session/Configuration.java,src/test/java/org/apache/ibatis/submitted/global_variables_defaults/ConfigurationTest.java,100,2025-01-03T19:43:12+00:00
opensearch-project/opensearch,server/src/main/java/org/opensearch/node/Node.java,client/rest/src/test/java/org/opensearch/client/NodeTests.java;server/src/test/java/org/opensearch/node/NodeTests.java,100,2025-11-21T22:43:30+00:00
opensearch-project/opensearch,server/src/main/java/org/opensearch/index/shard/IndexShard.java,server/src/test/java/org/opensearch/index/shard/IndexShardTests.java,100,2025-11-11T01:10:04+00:00
trinodb/trino,plugin/trino-hive/src/main/java/io/trino/plugin/hive/metastore/file/FileHiveMetastore.java,plugin/trino-hive/src/test/java/io/trino/plugin/hive/metastore/file/TestFileHiveMetastore.java,100,2025-11-25T17:07:26+00:00
trinodb/trino,plugin/trino-sqlserver/src/main/java/io/trino/plugin/sqlserver/SqlServerClient.java,plugin/trino-sqlserver/src/test/java/io/trino/plugin/sqlserver/TestSqlServerClient.java,100,2025-11-18T04:41:00+00:00
prestodb/presto,presto-hive/src/main/java/com/facebook/presto/hive/HiveMetadata.java,presto-hive/src/test/java/com/facebook/presto/hive/TestHiveMetadata.java,100,2025-11-25T08:52:03+00:00
prestodb/presto,presto-parser/src/main/java/com/facebook/presto/sql/SqlFormatter.java,presto-main-base/src/test/java/com/facebook/presto/sql/TestSqlFormatter.java,100,2025-11-15T00:58:26+00:00
apache/iceberg,core/src/main/java/org/apache/iceberg/TableMetadata.java,core/src/test/java/org/apache/iceberg/TestTableMetadata.java,97,2025-07-24T07:33:02+00:00
apache/iceberg,core/src/main/java/org/apache/iceberg/TableProperties.java,orc/src/test/java/org/apache/iceberg/orc/TestTableProperties.java,96,2025-10-21T17:22:22+00:00
wildfly/wildfly,connector/src/main/java/org/jboss/as/connector/subsystems/datasources/Constants.java,testsuite/shared/src/main/java/org/wildfly/test/undertow/common/TestConstants.java,100,2024-07-11T12:09:13+00:00
wildfly/wildfly,ee/src/main/java/org/jboss/as/ee/component/interceptors/InterceptorOrder.java,testsuite/integration/basic/src/test/java/org/jboss/as/test/integration/weld/ejb/interceptor/interceptorsorderwithexclusions/InterceptorOrderTest.java,90,2025-04-09T13:05:35+00:00
grpc/grpc-java,netty/src/main/java/io/grpc/netty/NettyChannelBuilder.java,netty/src/test/java/io/grpc/netty/NettyChannelBuilderTest.java,100,2025-11-05T11:26:31+00:00
grpc/grpc-java,core/src/main/java/io/grpc/internal/GrpcUtil.java,core/src/test/java/io/grpc/internal/GrpcUtilTest.java,100,2025-10-29T20:16:41+00:00
google/guava,guava/src/com/google/common/collect/ImmutableList.java,android/guava-tests/test/com/google/common/collect/ImmutableListTest.java;guava-tests/test/com/google/common/collect/ImmutableListTest.java,100,2025-11-17T22:48:07+00:00
google/guava,guava/src/com/google/common/collect/ImmutableMap.java,android/guava-tests/test/com/google/common/collect/ImmutableMapTest.java;guava-tests/test/com/google/common/collect/ImmutableMapTest.java,100,2025-11-17T22:48:07+00:00
reactivex/rxjava,src/main/java/io/reactivex/rxjava3/core/Flowable.java,src/test/java/io/reactivex/rxjava3/flowable/FlowableTests.java,81,2024-04-23T14:47:13+00:00
reactivex/rxjava,src/main/java/io/reactivex/rxjava3/core/Observable.java,src/test/java/io/reactivex/rxjava3/observable/ObservableTest.java,67,2024-04-23T14:47:13+00:00
apache/maven,impl/maven-impl/src/main/java/org/apache/maven/impl/model/DefaultModelBuilder.java,compat/maven-model-builder/src/test/java/org/apache/maven/model/building/DefaultModelBuilderTest.java;impl/maven-impl/src/test/java/org/apache/maven/impl/model/DefaultModelBuilderTest.java,31,2025-11-18T17:20:31+00:00
apache/maven,impl/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java,impl/maven-core/src/test/java/org/apache/maven/project/DefaultProjectBuilderTest.java,21,2025-11-18T17:20:31+00:00
redis/jedis,src/main/java/redis/clients/jedis/Jedis.java,src/test/java/redis/clients/jedis/JedisTest.java,100,2025-11-20T11:10:32+00:00
redis/jedis,src/main/java/redis/clients/jedis/Protocol.java,src/test/java/redis/clients/jedis/ProtocolTest.java,100,2025-11-20T11:10:32+00:00
activiti/activiti,activiti-core/activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/impl/ProcessRuntimeImpl.java,activiti-core/activiti-api-impl/activiti-api-process-runtime-impl/src/test/java/org/activiti/runtime/api/impl/ProcessRuntimeImplTest.java,28,2025-10-06T09:13:09+00:00
activiti/activiti,activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ProcessEngineAutoConfiguration.java,activiti-core/activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/ProcessEngineAutoConfigurationTest.java,19,2025-09-26T09:14:24+00:00
apache/rocketmq,client/src/main/java/org/apache/rocketmq/client/impl/producer/DefaultMQProducerImpl.java,client/src/test/java/org/apache/rocketmq/client/producer/selector/DefaultMQProducerImplTest.java,100,2025-11-19T08:05:36+00:00
apache/rocketmq,store/src/main/java/org/apache/rocketmq/store/DefaultMessageStore.java,store/src/test/java/org/apache/rocketmq/store/DefaultMessageStoreTest.java,100,2025-11-06T03:37:39+00:00
codecentric/spring-boot-admin,spring-boot-admin-server-ui/src/main/java/de/codecentric/boot/admin/server/ui/config/AdminServerUiAutoConfiguration.java,spring-boot-admin-server-ui/src/test/java/de/codecentric/boot/admin/server/ui/config/AdminServerUiAutoConfigurationTest.java,49,2025-11-14T09:02:24+00:00
codecentric/spring-boot-admin,spring-boot-admin-server-ui/src/main/java/de/codecentric/boot/admin/server/ui/web/UiController.java,spring-boot-admin-server-ui/src/test/java/de/codecentric/boot/admin/server/ui/web/UiControllerTest.java,45,2025-09-05T20:07:10+00:00
javaparser/javaparser,javaparser-core/src/main/java/com/github/javaparser/ast/visitor/CloneVisitor.java,javaparser-core-testing/src/test/java/com/github/javaparser/ast/visitor/CloneVisitorTest.java,100,2025-11-07T13:08:10+00:00
javaparser/javaparser,javaparser-core/src/main/java/com/github/javaparser/ast/visitor/GenericVisitorAdapter.java,javaparser-core-testing/src/test/java/com/github/javaparser/ast/visitor/GenericVisitorAdapterTest.java,100,2025-11-07T13:08:10+00:00
netty/netty,common/src/main/java/io/netty/util/internal/PlatformDependent.java,common/src/test/java/io/netty/util/internal/PlatformDependentTest.java,100,2025-11-13T10:53:39+00:00
netty/netty,resolver-dns/src/main/java/io/netty/resolver/dns/DnsNameResolver.java,resolver-dns/src/test/java/io/netty/resolver/dns/DnsNameResolverTest.java,100,2025-11-04T07:44:01+00:00
jenkinsci/jenkins,core/src/main/java/hudson/model/DirectoryBrowserSupport.java,test/src/test/java/hudson/model/DirectoryBrowserSupportTest.java,100,2025-11-25T08:48:48+00:00
jenkinsci/jenkins,core/src/main/java/hudson/model/Job.java,core/src/test/java/hudson/model/JobTest.java;test/src/test/java/hudson/model/JobTest.java,100,2025-11-23T11:36:09+00:00
junit-team/junit5,junit-platform-commons/src/main/java/org/junit/platform/commons/util/ReflectionUtils.java,platform-tests/src/test/java/org/junit/platform/commons/util/ReflectionUtilsTests.java,100,2025-10-30T16:39:18+00:00
junit-team/junit5,junit-platform-engine/src/main/java/org/junit/platform/engine/discovery/DiscoverySelectors.java,platform-tests/src/test/java/org/junit/platform/engine/discovery/DiscoverySelectorsTests.java,100,2025-10-09T06:38:53+00:00
bazelbuild/bazel,src/main/java/com/google/devtools/build/lib/actions/ActionCacheChecker.java,src/test/java/com/google/devtools/build/lib/actions/ActionCacheCheckerTest.java,100,2025-11-26T13:38:11+00:00
bazelbuild/bazel,src/main/java/com/google/devtools/build/lib/remote/options/RemoteOptions.java,src/test/java/com/google/devtools/build/lib/remote/options/RemoteOptionsTest.java,100,2025-11-26T13:38:11+00:00
openrefine/openrefine,server/src/com/google/refine/Refine.java,modules/core/src/test/java/com/google/refine/RefineTest.java,49,2025-04-03T14:42:53+00:00
openrefine/openrefine,main/src/com/google/refine/importers/SeparatorBasedImporter.java,main/tests/server/src/com/google/refine/importers/SeparatorBasedImporterTests.java,48,2025-03-26T11:03:48+00:00
seata/seata,config/seata-config-core/src/main/java/io/seata/config/FileConfiguration.java,config/seata-config-core/src/test/java/org/apache/seata/config/FileConfigurationTest.java,36,2025-06-21T10:03:14+00:00
seata/seata,namingserver/src/main/java/org/apache/seata/namingserver/manager/NamingManager.java,namingserver/src/test/java/org/apache/seata/namingserver/NamingManagerTest.java,23,2025-06-21T10:03:14+00:00
metersphere/metersphere,backend/services/case-management/src/main/java/io/metersphere/functional/controller/FunctionalCaseController.java,backend/services/case-management/src/test/java/io/metersphere/functional/controller/FunctionalCaseControllerTests.java,48,2024-09-05T06:31:30+00:00
metersphere/metersphere,backend/services/system-setting/src/main/java/io/metersphere/system/controller/SystemProjectController.java,backend/services/system-setting/src/test/java/io/metersphere/system/controller/SystemProjectControllerTests.java,45,2024-09-24T03:10:21+00:00
eclipse-openj9/openj9,jcl/src/java.base/share/classes/java/lang/Class.java,test/functional/VM_Test/src/com/ibm/j9/offload/tests/mapping/TestClass.java;test/functional/cmdLineTests/shareClassTests/utils/src/Utilities/TestClass.java;test/functional/cmdLineTests/utils/src/org/openj9/test/classtests/ClassTest.java;test/functional/cmdLineTests/utils2/src/org/openj9/test/classtests/ClassTest.java;test/functional/cmdline_options_testresources/src/com/ibm/j9/zostest/TestClass.java,100,2025-11-18T19:41:03+00:00
eclipse-openj9/openj9,jcl/src/java.base/share/classes/java/lang/ClassLoader.java,test/functional/Java9andUp/src/org/openj9/test/modularity/TestClassLoader.java;test/functional/cmdLineTests/gcRegressionTests/src/com/ibm/tests/garbagecollector/TestClassLoader.java;test/functional/cmdLineTests/lazyClassLoadingTest/src/j9vm/test/classloader/ClassLoaderTest.java,87,2025-11-03T20:00:14+00:00
oracle/graal,compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/hotspot/JVMCIVersionCheck.java,compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/hotspot/test/JVMCIVersionCheckTest.java,100,2025-11-13T22:49:36+00:00
oracle/graal,sdk/src/org.graalvm.launcher/src/org/graalvm/launcher/Launcher.java,sdk/src/org.graalvm.launcher.test/src/org/graalvm/launcher/test/LauncherTest.java,100,2025-09-26T14:56:47+00:00
azure/azure-sdk-for-java,sdk/cosmos/azure-cosmos/src/main/java/com/azure/cosmos/implementation/RxDocumentClientImpl.java,sdk/cosmos/azure-cosmos-tests/src/test/java/com/azure/cosmos/implementation/RxDocumentClientImplTest.java,100,2025-11-20T06:41:35+00:00
azure/azure-sdk-for-java,sdk/cosmos/azure-cosmos/src/main/java/com/azure/cosmos/implementation/ImplementationBridgeHelpers.java,sdk/cosmos/azure-cosmos-tests/src/test/java/com/azure/cosmos/implementation/ImplementationBridgeHelpersTest.java,100,2025-11-19T01:15:23+00:00
apache/ignite,modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/TcpDiscoverySpi.java,modules/core/src/test/java/org/apache/ignite/spi/discovery/tcp/TestTcpDiscoverySpi.java,100,2025-11-20T10:12:15+00:00
apache/ignite,modules/core/src/main/java/org/apache/ignite/spi/communication/tcp/TcpCommunicationSpi.java,modules/core/src/test/java/org/apache/ignite/util/TestTcpCommunicationSpi.java,100,2025-10-31T06:56:52+00:00
strimzi/strimzi-kafka-operator,cluster-operator/src/main/java/io/strimzi/operator/cluster/model/KafkaCluster.java,cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterTest.java,100,2025-11-24T13:43:10+00:00
strimzi/strimzi-kafka-operator,cluster-operator/src/main/java/io/strimzi/operator/cluster/model/KafkaConnectCluster.java,cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaConnectClusterTest.java,100,2025-11-05T08:57:06+00:00
alibaba/druid,core/src/main/java/com/alibaba/druid/pool/DruidDataSource.java,core/src/test/java/com/alibaba/druid/bvt/pool/DruidDataSourceTest.java;core/src/test/java/com/alibaba/druid/bvt/pool/TestDruidDataSource.java;core/src/test/java/com/alibaba/druid/pool/DruidDataSourceTest.java,98,2025-09-13T18:27:49+00:00
alibaba/druid,core/src/main/java/com/alibaba/druid/sql/parser/SQLExprParser.java,core/src/test/java/com/alibaba/druid/sql/SQLExprParserTest.java,96,2025-09-22T05:30:03+00:00
eclipse-vertx/vert.x,vertx-core/src/main/java/io/vertx/core/Vertx.java,vertx-core/src/test/java/io/vertx/tests/vertx/VertxTest.java,39,2025-05-11T17:59:03+00:00
eclipse-vertx/vert.x,vertx-core/src/main/java/io/vertx/core/net/impl/VertxConnection.java,vertx-core/src/test/java/io/vertx/tests/net/VertxConnectionTest.java,27,2025-11-14T10:03:12+00:00
apache/dolphinscheduler,dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/enums/Status.java,dolphinscheduler-api/src/test/java/org/apache/dolphinscheduler/api/enums/StatusTest.java,100,2025-10-20T02:14:15+00:00
apache/dolphinscheduler,dolphinscheduler-service/src/main/java/org/apache/dolphinscheduler/service/process/ProcessService.java,dolphinscheduler-service/src/test/java/org/apache/dolphinscheduler/service/process/ProcessServiceTest.java,100,2025-08-05T16:23:43+00:00
pinpoint-apm/pinpoint,web/src/main/java/com/navercorp/pinpoint/web/dao/hbase/HbaseApplicationTraceIndexDao.java,web/src/test/java/com/navercorp/pinpoint/web/dao/hbase/HbaseApplicationTraceIndexDaoTest.java,57,2025-09-24T08:08:34+00:00
pinpoint-apm/pinpoint,web/src/main/java/com/navercorp/pinpoint/web/applicationmap/ApplicationMapBuilder.java,web/src/test/java/com/navercorp/pinpoint/web/applicationmap/ApplicationMapBuilderTest.java,49,2025-05-07T02:34:57+00:00
jabref/jabref,jabgui/src/main/java/org/jabref/gui/preferences/JabRefGuiPreferences.java,jablib/src/test/java/org/jabref/logic/preferences/JabRefGuiPreferencesTest.java,14,2025-11-26T22:49:24+00:00
jabref/jabref,jablib/src/main/java/org/jabref/model/entry/BibEntry.java,jablib/src/test/java/org/jabref/model/entry/BibEntryTest.java,13,2025-11-24T21:27:19+00:00
thingsboard/thingsboard,application/src/main/java/org/thingsboard/server/controller/EdgeController.java,application/src/test/java/org/thingsboard/server/controller/EdgeControllerTest.java,100,2025-11-24T08:47:11+00:00
